Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-11-11 16:48:44,false,"York Running","5.94","575","01:01:25","150","175","166","184","10:20","7:08","104","99","0.94","0.0","0.0","0.0","0.0","0.0","1:01:25","0:00","0.0","0:00","No","08:58.33","6","0.0"
Running,2020-11-09 16:01:24,false,"York Running","4.01","434","00:44:49","152","168","162","178","11:11","7:54","106","96","0.88","0.0","0.0","0.0","0.0","0.0","44:49","0:00","0.0","0:00","No","00:03.93","5","0.0"
Running,2020-11-07 07:28:37,false,"York Running","10.00","1,001","01:50:35","148","161","170","180","11:03","2:09","196","201","0.86","0.0","0.0","0.0","0.0","0.0","1:50:35","0:00","0.0","0:00","No","00:03.39","11","0.0"
Running,2020-11-03 17:22:47,false,"York Running","4.12","393","00:41:09","150","165","166","183","10:00","4:09","46","42","0.97","0.0","0.0","0.0","0.0","0.0","41:09","0:00","0.0","0:00","No","00:59.90","5","0.0"
Running,2020-11-01 08:01:33,false,"York Running","6.08","526","01:09:21","135","147","167","178","11:24","5:53","49","51","0.85","0.0","0.0","0.0","0.0","0.0","1:09:21","0:00","0.0","0:00","No","00:52.08","7","0.0"
Running,2020-10-29 16:48:28,false,"York Running","6.01","586","01:09:30","141","155","159","247","11:34","7:08","103","106","0.88","0.0","0.0","0.0","0.0","0.0","1:09:30","0:00","0.0","0:00","No","00:03.84","7","0.0"
Running,2020-10-27 16:48:29,false,"York Running","4.08","395","00:41:02","152","173","170","182","10:03","8:16","47","49","0.94","0.0","0.0","0.0","0.0","0.0","41:02","0:00","0.0","0:00","No","01:02.82","5","0.0"
Running,2020-10-25 07:37:33,false,"York Running","6.22","597","01:04:50","148","173","168","188","10:25","6:29","52","59","0.91","0.0","0.0","0.0","0.0","0.0","1:04:50","0:00","0.0","0:00","No","02:02.63","7","0.0"
Running,2020-10-20 17:17:36,false,"York Running","4.01","409","00:41:45","154","171","168","195","10:25","7:44","55","55","0.92","0.0","0.0","0.0","0.0","0.0","41:45","0:00","0.0","0:00","No","00:04.33","5","0.0"
Running,2020-10-18 07:41:21,false,"York Running","8.00","666","01:28:03","137","152","167","179","11:00","2:21","172","162","0.88","0.0","0.0","0.0","0.0","0.0","1:28:03","0:00","0.0","0:00","No","00:02.92","9","0.0"
Running,2020-10-17 09:15:40,false,"York Running","3.01","285","00:31:48","145","159","170","187","10:35","5:19","31","29","0.89","0.0","0.0","0.0","0.0","0.0","31:48","0:00","0.0","0:00","No","00:04.48","4","0.0"
